Sync Break,PID,Data Bytes,Checksum,Master/Slave
00,55,"['D8', '80', '00', '00', 'FF', 'FF', 'FF', 'FF']",8F,Slave
00,55,"['01', '88', '40', 'B8', '00', '28', 'C0', '2F']",9F,Slave
00,55,"['C0', '00', '55', '00', '88', '40', '05', '01']",FC,Master
00,55,"['20', '00', '55', '01', '88', '40', 'B8', '00']",44,Slave
00,55,"['40', '00', '00', '00', 'FF', 'FF', 'FF', 'FF']",9F,Slave
00,55,"['00', '88', '40', '05', '01', '1F', 'F8', 'FF']",FC,Master
00,55,"['70', '00', '00', '00', 'FF', 'FF', 'FF', 'FF']",8F,Slave
00,55,"['01', '88', '40', 'B8', '00', '28', 'C0', '2F']",44,Slave
00,55,"['C0', '00', '55', '00', '88', '40', '05', '01']",FC,Master
00,55,"['30', '00', '55', '01', '88', '40', 'B8', '00']",9F,Slave
00,55,"['40', '00', '00', '00', 'FF', 'FF', 'FF', 'FF']",9F,Slave
00,55,"['00', '88', '40', '05', '01', '1F', 'F8', 'FF']",FC,Master
00,55,"['70', '00', '00', '00', 'FF', 'FF', 'FF', 'FF']",8F,Slave
00,55,"['01', '88', '40', 'B8', '00', '28', 'C0', '2F']",9F,Slave
00,55,"['C0', '00', '55', '00', '88', '40', '05', '01']",FC,Master
00,55,"['30', '00', '55', '01', '88', '40', 'B8', '00']",44,Slave
00,55,"['40', '00', '00', '00', 'FF', 'FF', 'FF', 'FF']",5F,Slave
00,55,"['00', '88', '40', '05', '01', '1F', 'F8', 'FF']",FC,Master
00,55,"['70', '00', '00', '00', 'FF', 'FF', 'FF', 'FF']",8F,Slave
00,55,"['01', '88', '40', 'B8', '00', '28', 'C0', '2F']",44,Slave
